country_iso2,sector,pd,net_profit_margin,debt_equity_ratio,volatility
PT,Steel,3.5936750000000004e-4,0.1128477,0.031476125,0.47037027249999996
PY,Power,4.4686e-4,0.0716949,0.12856984,0.27550679
QA,Oil&Gas,3.8466e-4,0.07430847500000001,0.114531475,0.275562825
QA,Power,3.9073e-4,0.085191375,0.11441915,0.275562825
QA,Steel,1.71535e-4,0.2771078875,0.059430134999999995,0.26739629
RO,Automotive,3.5518249999999996e-4,0.0484461125,0.114531475,0.27293933
RO,Coal,5.414775e-4,0.0716065,0.1136253875,0.3115850375
RO,Oil&Gas,5.3307e-4,0.08101354,0.13918295,0.24302715
RO,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
RO,Steel,4.0385e-4,0.0767007,0.05657024,0.399939895
RS,Coal,5.1651125e-4,0.0715623,0.11695288375,0.29360194875
RS,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
RS,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
RU,Automotive,3.5518249999999996e-4,0.04879870625,0.1174059275,0.27561886
RU,Coal,4.91545e-4,0.0715181,0.106970395,0.347551215
RU,Oil&Gas,5.3307e-4,0.08101354,0.13918295,0.24302715
RU,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
RU,Steel,4.76905e-4,0.0767007,0.06719092,0.39260701249999996
SA,Automotive,1.7408e-4,0.0847829,0.11253567,0.2293586
SA,Oil&Gas,3.4876e-4,0.0716949,0.114531475,0.27290464
SA,Power,4.40035e-4,0.1045378,0.11441915,0.28494996625
SA,Steel,7.534e-5,0.1463949,0.04889304,0.22829712
SD,Oil&Gas,5.526425e-4,0.12015155,0.14717932375,0.30765464625
SD,Power,3.6861e-4,0.06723435,0.10906434374999999,0.27950355375
SE,Automotive,3.2361e-4,0.0477565,0.10810519,0.27290464
SE,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
SE,Steel,3.5958750000000003e-4,0.062228775,0.11441915,0.27561886
SG,Power,2.9792e-4,0.057583375,0.114531475,0.251350005
SG,Steel,3.6085e-4,0.0539341,0.10810519,0.27561886
SI,Automotive,7.837212499999999e-4,0.045459425,0.1621003325,0.30181514499999995
SI,Coal,4.91545e-4,0.0715181,0.106970395,0.347551215
SI,Oil&Gas,5.47655e-4,0.07635422,0.1344573075,0.2511750775
SI,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
SK,Automotive,3.27135e-4,0.049709925,0.1085197125,0.27290464
SK,Coal,4.91545e-4,0.0715181,0.106970395,0.347551215
SK,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
SK,Steel,5.341575e-4,0.07419780000000001,0.08842531000000001,0.3377793775
SN,Oil&Gas,3.9782e-4,0.07885512,0.12093569,0.27561886
SN,Power,4.4686e-4,0.0683728,0.09951557,0.32071617
SR,Oil&Gas,4.8382125e-4,0.135466325,0.17291506499999998,0.3368522925
SS,Oil&Gas,3.91845e-4,0.07777591,0.12856984,0.2771271325
SV,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
SV,Steel,2.2344e-4,0.0938409,0.06630509,0.34117707
SY,Oil&Gas,3.8466e-4,0.2635113,0.05576412,0.31424366
SY,Power,4.40035e-4,0.1045378,0.11441915,0.289695265
SZ,Coal,5.96585e-4,0.141279,0.19668025,0.319775395
TD,Oil&Gas,5.3307e-4,0.07885512,0.126341835,0.32071617
TD,Power,4.2234e-4,0.0683728,0.09951557,0.32071617
TG,Power,4.4686e-4,0.0683728,0.09951557,0.32071617
TH,Automotive,3.2361e-4,0.050674775,0.110512725,0.27285110999999995
TH,Coal,3.31375e-4,0.079860975,0.1070828675,0.2840307775
TH,Oil&Gas,2.4568e-4,0.0581042,0.12093569,0.2360043
TH,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
TH,Steel,2.9792e-4,0.0539341,0.10976328,0.26753675
TJ,Coal,4.91545e-4,0.0715181,0.106970395,0.347551215
TJ,Oil&Gas,5.3307e-4,0.08101354,0.13918295,0.24302715
TJ,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
TL,Oil&Gas,3.277575e-4,0.06210005,0.12044420750000001,0.26484938125
TM,Oil&Gas,4.3347875e-4,0.08101354,0.12519295625,0.26600023375
TM,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
TN,Oil&Gas,3.8466e-4,0.14383695,0.10711469500000001,0.31424366
TN,Power,3.8193125e-4,0.07665835,0.11520241749999999,0.2736072125
TR,Automotive,3.281375e-4,0.049479075,0.11441915,0.27290464
TR,Coal,4.91545e-4,0.0715181,0.106970395,0.347551215
TR,Oil&Gas,5.3307e-4,0.08101354,0.13918295,0.24302715
TR,Power,5.9141e-4,0.0716949,0.12028038,0.27561886
TR,Steel,4.76905e-4,0.0767007,0.05657024,0.399939895
TT,Oil&Gas,5.2456e-4,0.1619448,0.20496116,0.33349635499999997
TT,Power,4.0385e-4,0.0816218,0.176495655,0.27550679
TW,Automotive,3.0808e-4,0.0516698,0.11451247,0.27290464
TW,Power,2.9792e-4,0.0539341,0.10976328,0.251350005
TW,Steel,2.4227e-4,0.0483934,0.055973145,0.26753675
TZ,Coal,5.5915375e-4,0.12305245,0.17238908,0.32001058875
TZ,Oil&Gas,6.4677e-4,0.141279,0.1531681,0.32678448
TZ,Power,4.4686e-4,0.0683728,0.09951557,0.32071617
UA,Coal,4.91545e-4,0.0715181,0.106970395,0.347551215
